GS,id,par
G2S2,137,TU-EX GUERRILLERO
G2S3,138,TU-ESTUDIANTE
G2S3,138,TU-VICTIMA
G2S3,138,VICTIMA-ESTUDIANTE
G2S3,138,VICTIMA-VICTIMA
G2S4,139,EX PARAMILITAR-ESTUDIANTE
G2S4,139,EX PARAMILITAR-EX GUERRILLERO
G2S4,139,TU-ESTUDIANTE
G2S4,139,TU-EX GUERRILLERO
G2S5,140,EX GUERRILLERO-ESTUDIANTE
G2S5,140,EX GUERRILLERO-EX PARAMILITAR
G2S5,140,TU-ESTUDIANTE
G2S5,140,TU-EX PARAMILITAR
G2S6,141,TU-ESTUDIANTE
G2S6,141,TU-VICTIMA
G2S6,141,VICTIMA-ESTUDIANTE
G2S6,141,VICTIMA-VICTIMA
G2S7,142,EX PARAMILITAR-ESTUDIANTE
G2S7,142,EX PARAMILITAR-EX GUERRILLERO
G2S7,142,TU-ESTUDIANTE
G2S7,142,TU-EX GUERRILLERO
G2S8,143,EX GUERRILLERO-ESTUDIANTE
G2S8,143,EX GUERRILLERO-VICTIMA
G2S8,143,TU-ESTUDIANTE
G2S8,143,TU-VICTIMA
G2S9,144,EX PARAMILITAR-ESTUDIANTE
G2S9,144,EX PARAMILITAR-EX PARAMILITAR
G2S9,144,TU-ESTUDIANTE
G2S9,144,TU-EX PARAMILITAR
G2S10,145,EX GUERRILLERO-ESTUDIANTE
G2S10,145,EX GUERRILLERO-VICTIMA
G2S10,145,TU-ESTUDIANTE
G2S10,145,TU-VICTIMA
G2S11,146,EX GUERRILLERO-ESTUDIANTE
G2S11,146,EX GUERRILLERO-EX GUERRILLERO
G2S11,146,TU-ESTUDIANTE
G2S11,146,TU-EX GUERRILLERO
G2S12,147,TU-ESTUDIANTE
G2S12,147,TU-EX PARAMILITAR
G2S12,147,VICTIMA-ESTUDIANTE
G2S12,147,VICTIMA-EX PARAMILITAR
G2S13,148,EX GUERRILLERO-ESTUDIANTE
G2S13,148,EX GUERRILLERO-EX PARAMILITAR
G2S13,148,TU-ESTUDIANTE
G2S13,148,TU-EX PARAMILITAR
G2S14,149,EX GUERRILLERO-ESTUDIANTE
G2S14,149,EX GUERRILLERO-EX PARAMILITAR
G2S14,149,TU-ESTUDIANTE
G2S14,149,TU-EX PARAMILITAR
G2S15,150,TU-ESTUDIANTE
G2S15,150,TU-VICTIMA
G2S15,150,VICTIMA-ESTUDIANTE
G2S15,150,VICTIMA-VICTIMA
G2S16,151,EX PARAMILITAR-ESTUDIANTE
G2S16,151,EX PARAMILITAR-EX PARAMILITAR
G2S16,151,TU-ESTUDIANTE
G2S16,151,TU-EX PARAMILITAR
G2S17,152,EX PARAMILITAR-ESTUDIANTE
G2S17,152,EX PARAMILITAR-VICTIMA
G2S17,152,TU-ESTUDIANTE
G2S17,152,TU-VICTIMA
G2S18,153,TU-ESTUDIANTE
G2S18,153,TU-EX PARAMILITAR
G2S18,153,VICTIMA-ESTUDIANTE
G2S18,153,VICTIMA-EX PARAMILITAR
G2S19,154,EX PARAMILITAR-ESTUDIANTE
G2S19,154,EX PARAMILITAR-EX PARAMILITAR
G2S19,154,TU-ESTUDIANTE
G2S19,154,TU-EX PARAMILITAR
G2S20,155,EX GUERRILLERO-ESTUDIANTE
G2S20,155,EX GUERRILLERO-EX PARAMILITAR
G2S20,155,TU-ESTUDIANTE
G2S20,155,TU-EX PARAMILITAR
G2S21,156,EX GUERRILLERO-ESTUDIANTE
G2S21,156,EX GUERRILLERO-VICTIMA
G2S21,156,TU-ESTUDIANTE
G2S21,156,TU-VICTIMA
G2S22,157,TU-ESTUDIANTE
G2S22,157,TU-EX PARAMILITAR
G2S22,157,VICTIMA-ESTUDIANTE
G2S22,157,VICTIMA-EX PARAMILITAR
G2S23,158,EX GUERRILLERO-ESTUDIANTE
G2S23,158,EX GUERRILLERO-EX PARAMILITAR
G2S23,158,TU-ESTUDIANTE
G2S23,158,TU-EX PARAMILITAR
G2S24,159,TU-ESTUDIANTE
G2S24,159,TU-VICTIMA
G2S24,159,VICTIMA-ESTUDIANTE
G2S24,159,VICTIMA-VICTIMA
G2S25,160,EX GUERRILLERO-ESTUDIANTE
G2S25,160,EX GUERRILLERO-VICTIMA
G2S25,160,TU-ESTUDIANTE
G2S25,160,TU-VICTIMA
G2S26,161,EX GUERRILLERO-ESTUDIANTE
G2S26,161,EX GUERRILLERO-EX GUERRILLERO
G2S26,161,TU-ESTUDIANTE
G2S26,161,TU-EX GUERRILLERO
G2S27,162,TU-ESTUDIANTE
G2S27,162,TU-EX GUERRILLERO
G2S27,162,VICTIMA-ESTUDIANTE
G2S27,162,VICTIMA-EX GUERRILLERO
G2S28,163,EX PARAMILITAR-ESTUDIANTE
G2S28,163,EX PARAMILITAR-EX GUERRILLERO
G2S28,163,TU-ESTUDIANTE
G2S28,163,TU-EX GUERRILLERO
G2S29,164,TU-ESTUDIANTE
G2S29,164,TU-VICTIMA
G2S29,164,VICTIMA-ESTUDIANTE
G2S29,164,VICTIMA-VICTIMA
G2S30,165,EX PARAMILITAR-ESTUDIANTE
G2S30,165,EX PARAMILITAR-EX GUERRILLERO
G2S30,165,TU-ESTUDIANTE
G2S30,165,TU-EX GUERRILLERO
G2S31,166,EX PARAMILITAR-ESTUDIANTE
G2S31,166,EX PARAMILITAR-EX GUERRILLERO
G2S31,166,TU-ESTUDIANTE
G2S31,166,TU-EX GUERRILLERO
G2S32,167,TU-ESTUDIANTE
G2S32,167,TU-VICTIMA
G2S32,167,VICTIMA-ESTUDIANTE
G2S32,167,VICTIMA-VICTIMA
G2S33,168,EX PARAMILITAR-ESTUDIANTE
G2S33,168,EX PARAMILITAR-EX GUERRILLERO
G2S33,168,TU-ESTUDIANTE
G2S33,168,TU-EX GUERRILLERO
G2S34,169,EX PARAMILITAR-ESTUDIANTE
G2S34,169,EX PARAMILITAR-EX PARAMILITAR
G2S34,169,TU-ESTUDIANTE
G2S34,169,TU-EX PARAMILITAR
G2S35,170,EX GUERRILLERO-ESTUDIANTE
G2S35,170,EX GUERRILLERO-EX PARAMILITAR
G2S35,170,TU-ESTUDIANTE
G2S35,170,TU-EX PARAMILITAR
G2S36,171,EX PARAMILITAR-ESTUDIANTE
G2S36,171,EX PARAMILITAR-EX PARAMILITAR
G2S36,171,TU-ESTUDIANTE
G2S36,171,TU-EX PARAMILITAR
G2S37,172,TU-ESTUDIANTE
G2S37,172,TU-EX PARAMILITAR
G2S37,172,VICTIMA-ESTUDIANTE
G2S37,172,VICTIMA-EX PARAMILITAR
G2S38,173,EX PARAMILITAR-ESTUDIANTE
G2S38,173,EX PARAMILITAR-VICTIMA
G2S38,173,TU-ESTUDIANTE
G2S38,173,TU-VICTIMA
G2S39,174,EX GUERRILLERO-ESTUDIANTE
G2S39,174,EX GUERRILLERO-EX PARAMILITAR
G2S39,174,TU-ESTUDIANTE
G2S39,174,TU-EX PARAMILITAR
G2S40,175,TU-ESTUDIANTE
G2S40,175,TU-VICTIMA
G2S40,175,VICTIMA-ESTUDIANTE
G2S40,175,VICTIMA-VICTIMA
G2S41,176,TU-ESTUDIANTE
G2S41,176,TU-EX GUERRILLERO
G2S41,176,VICTIMA-ESTUDIANTE
G2S41,176,VICTIMA-EX GUERRILLERO
G2S42,177,EX GUERRILLERO-ESTUDIANTE
G2S42,177,EX GUERRILLERO-EX GUERRILLERO
G2S42,177,TU-ESTUDIANTE
G2S42,177,TU-EX GUERRILLERO
G2S43,178,EX PARAMILITAR-ESTUDIANTE
G2S43,178,EX PARAMILITAR-EX PARAMILITAR
G2S43,178,TU-ESTUDIANTE
G2S43,178,TU-EX PARAMILITAR
G2S44,179,TU-ESTUDIANTE
G2S44,179,TU-EX PARAMILITAR
G2S44,179,VICTIMA-ESTUDIANTE
G2S44,179,VICTIMA-EX PARAMILITAR
G2S45,180,EX PARAMILITAR-ESTUDIANTE
G2S45,180,EX PARAMILITAR-EX PARAMILITAR
G2S45,180,TU-ESTUDIANTE
G2S45,180,TU-EX PARAMILITAR
G2S46,181,TU-ESTUDIANTE
G2S46,181,TU-EX PARAMILITAR
G2S46,181,VICTIMA-ESTUDIANTE
G2S46,181,VICTIMA-EX PARAMILITAR
G2S47,182,TU-ESTUDIANTE
G2S47,182,TU-EX PARAMILITAR
G2S47,182,VICTIMA-ESTUDIANTE
G2S47,182,VICTIMA-EX PARAMILITAR
G2S48,183,EX GUERRILLERO-ESTUDIANTE
G2S48,183,EX GUERRILLERO-VICTIMA
G2S48,183,TU-ESTUDIANTE
G2S48,183,TU-VICTIMA
G2S49,184,EX GUERRILLERO-ESTUDIANTE
G2S49,184,EX GUERRILLERO-EX GUERRILLERO
G2S49,184,TU-ESTUDIANTE
G2S49,184,TU-EX GUERRILLERO
G2S50,185,TU-ESTUDIANTE
G2S50,185,TU-VICTIMA
G2S50,185,VICTIMA-ESTUDIANTE
G2S50,185,VICTIMA-VICTIMA
G2S51,186,EX GUERRILLERO-ESTUDIANTE
G2S51,186,EX GUERRILLERO-EX GUERRILLERO
G2S51,186,TU-ESTUDIANTE
G2S51,186,TU-EX GUERRILLERO
G2S52,187,TU-ESTUDIANTE
G2S52,187,TU-EX GUERRILLERO
G2S52,187,VICTIMA-ESTUDIANTE
G2S52,187,VICTIMA-EX GUERRILLERO
G2S53,188,TU-ESTUDIANTE
G2S53,188,TU-EX GUERRILLERO
G2S53,188,VICTIMA-ESTUDIANTE
G2S53,188,VICTIMA-EX GUERRILLERO
G2S54,189,EX GUERRILLERO-ESTUDIANTE
G2S54,189,EX GUERRILLERO-EX PARAMILITAR
G2S54,189,TU-ESTUDIANTE
G2S54,189,TU-EX PARAMILITAR
G2S55,190,EX GUERRILLERO-ESTUDIANTE
G2S55,190,EX GUERRILLERO-EX PARAMILITAR
G2S55,190,TU-ESTUDIANTE
G2S55,190,TU-EX PARAMILITAR
G2S56,191,EX PARAMILITAR-ESTUDIANTE
G2S56,191,EX PARAMILITAR-VICTIMA
G2S56,191,TU-ESTUDIANTE
G2S56,191,TU-VICTIMA
G2S57,192,EX GUERRILLERO-ESTUDIANTE
G2S57,192,EX GUERRILLERO-EX GUERRILLERO
G2S57,192,TU-ESTUDIANTE
G2S57,192,TU-EX GUERRILLERO
G2S58,193,EX PARAMILITAR-ESTUDIANTE
G2S58,193,EX PARAMILITAR-VICTIMA
G2S58,193,TU-ESTUDIANTE
G2S58,193,TU-VICTIMA
G2S59,194,TU-ESTUDIANTE
G2S59,194,TU-VICTIMA
G2S59,194,VICTIMA-ESTUDIANTE
G2S59,194,VICTIMA-VICTIMA
G2S60,195,EX PARAMILITAR-ESTUDIANTE
G2S60,195,EX PARAMILITAR-EX PARAMILITAR
G2S60,195,TU-ESTUDIANTE
G2S60,195,TU-EX PARAMILITAR
G2S61,196,TU-ESTUDIANTE
G2S61,196,TU-EX GUERRILLERO
G2S61,196,VICTIMA-ESTUDIANTE
G2S61,196,VICTIMA-EX GUERRILLERO
G2S62,197,TU-ESTUDIANTE
G2S62,197,TU-VICTIMA
G2S62,197,VICTIMA-ESTUDIANTE
G2S62,197,VICTIMA-VICTIMA
G2S63,198,EX PARAMILITAR-ESTUDIANTE
G2S63,198,EX PARAMILITAR-VICTIMA
G2S63,198,TU-ESTUDIANTE
G2S63,198,TU-VICTIMA
G2S64,199,TU-ESTUDIANTE
G2S64,199,TU-EX GUERRILLERO
G2S64,199,VICTIMA-ESTUDIANTE
G2S64,199,VICTIMA-EX GUERRILLERO
G2S65,200,EX PARAMILITAR-ESTUDIANTE
G2S65,200,EX PARAMILITAR-VICTIMA
G2S65,200,TU-ESTUDIANTE
G2S65,200,TU-VICTIMA
G2S66,201,EX PARAMILITAR-ESTUDIANTE
G2S66,201,EX PARAMILITAR-EX GUERRILLERO
G2S66,201,TU-ESTUDIANTE
G2S66,201,TU-EX GUERRILLERO
G2S67,202,EX GUERRILLERO-ESTUDIANTE
G2S67,202,EX GUERRILLERO-EX GUERRILLERO
G2S67,202,TU-ESTUDIANTE
G2S67,202,TU-EX GUERRILLERO
G2S68,203,EX PARAMILITAR-ESTUDIANTE
G2S68,203,EX PARAMILITAR-EX PARAMILITAR
G2S68,203,TU-ESTUDIANTE
G2S68,203,TU-EX PARAMILITAR
G2S69,204,EX PARAMILITAR-ESTUDIANTE
G2S69,204,EX PARAMILITAR-VICTIMA
G2S69,204,TU-ESTUDIANTE
G2S69,204,TU-VICTIMA
G2S70,205,EX PARAMILITAR-ESTUDIANTE
G2S70,205,EX PARAMILITAR-VICTIMA
G2S70,205,TU-ESTUDIANTE
G2S70,205,TU-VICTIMA
G2S71,206,EX GUERRILLERO-ESTUDIANTE
G2S71,206,EX GUERRILLERO-EX GUERRILLERO
G2S71,206,TU-ESTUDIANTE
G2S71,206,TU-EX GUERRILLERO
G2S72,207,EX GUERRILLERO-ESTUDIANTE
G2S72,207,EX GUERRILLERO-VICTIMA
G2S72,207,TU-ESTUDIANTE
G2S72,207,TU-VICTIMA
G2S73,208,EX GUERRILLERO-ESTUDIANTE
G2S73,208,EX GUERRILLERO-VICTIMA
G2S73,208,TU-ESTUDIANTE
G2S73,208,TU-VICTIMA
G2S74,209,EX GUERRILLERO-ESTUDIANTE
G2S74,209,EX GUERRILLERO-EX PARAMILITAR
G2S74,209,TU-ESTUDIANTE
G2S74,209,TU-EX PARAMILITAR
G2S75,210,EX PARAMILITAR-ESTUDIANTE
G2S75,210,EX PARAMILITAR-EX PARAMILITAR
G2S75,210,TU-ESTUDIANTE
G2S75,210,TU-EX PARAMILITAR
G2S76,211,TU-ESTUDIANTE
G2S76,211,TU-VICTIMA
G2S76,211,VICTIMA-ESTUDIANTE
G2S76,211,VICTIMA-VICTIMA
G2S77,212,TU-ESTUDIANTE
G2S77,212,TU-EX GUERRILLERO
G2S77,212,VICTIMA-ESTUDIANTE
G2S77,212,VICTIMA-EX GUERRILLERO
G2S78,213,EX GUERRILLERO-ESTUDIANTE
G2S78,213,EX GUERRILLERO-EX GUERRILLERO
G2S78,213,TU-ESTUDIANTE
G2S78,213,TU-EX GUERRILLERO
G2S79,214,TU-ESTUDIANTE
G2S79,214,TU-VICTIMA
G2S79,214,VICTIMA-ESTUDIANTE
G2S79,214,VICTIMA-VICTIMA
G2S80,215,TU-ESTUDIANTE
G2S80,215,TU-EX PARAMILITAR
G2S80,215,VICTIMA-ESTUDIANTE
G2S80,215,VICTIMA-EX PARAMILITAR
G2S81,216,EX PARAMILITAR-ESTUDIANTE
G2S81,216,EX PARAMILITAR-EX GUERRILLERO
G2S81,216,TU-ESTUDIANTE
G2S81,216,TU-EX GUERRILLERO
G2S82,217,EX GUERRILLERO-ESTUDIANTE
G2S82,217,EX GUERRILLERO-EX GUERRILLERO
G2S82,217,TU-ESTUDIANTE
G2S82,217,TU-EX GUERRILLERO
G2S83,218,EX PARAMILITAR-ESTUDIANTE
G2S83,218,EX PARAMILITAR-EX PARAMILITAR
G2S83,218,TU-ESTUDIANTE
G2S83,218,TU-EX PARAMILITAR
G2S84,219,EX PARAMILITAR-ESTUDIANTE
G2S84,219,EX PARAMILITAR-EX GUERRILLERO
G2S84,219,TU-ESTUDIANTE
G2S84,219,TU-EX GUERRILLERO
G2S85,220,EX GUERRILLERO-ESTUDIANTE
G2S85,220,EX GUERRILLERO-VICTIMA
G2S85,220,TU-ESTUDIANTE
G2S85,220,TU-VICTIMA
G2S86,221,EX GUERRILLERO-ESTUDIANTE
G2S86,221,EX GUERRILLERO-VICTIMA
G2S86,221,TU-ESTUDIANTE
G2S86,221,TU-VICTIMA
G2S87,222,TU-ESTUDIANTE
G2S87,222,TU-VICTIMA
G2S87,222,VICTIMA-ESTUDIANTE
G2S87,222,VICTIMA-VICTIMA
G2S88,223,EX PARAMILITAR-ESTUDIANTE
G2S88,223,EX PARAMILITAR-EX GUERRILLERO
G2S88,223,TU-ESTUDIANTE
G2S88,223,TU-EX GUERRILLERO
G2S89,224,EX GUERRILLERO-ESTUDIANTE
G2S89,224,EX GUERRILLERO-EX GUERRILLERO
G2S89,224,TU-ESTUDIANTE
G2S89,224,TU-EX GUERRILLERO
G2S90,225,EX PARAMILITAR-ESTUDIANTE
G2S90,225,EX PARAMILITAR-VICTIMA
G2S90,225,TU-ESTUDIANTE
G2S90,225,TU-VICTIMA
G2S91,226,TU-ESTUDIANTE
G2S91,226,TU-EX GUERRILLERO
G2S91,226,VICTIMA-ESTUDIANTE
G2S91,226,VICTIMA-EX GUERRILLERO
G2S92,227,EX GUERRILLERO-ESTUDIANTE
G2S92,227,EX GUERRILLERO-EX GUERRILLERO
G2S92,227,TU-ESTUDIANTE
G2S92,227,TU-EX GUERRILLERO
G2S93,228,EX GUERRILLERO-ESTUDIANTE
G2S93,228,EX GUERRILLERO-EX PARAMILITAR
G2S93,228,TU-ESTUDIANTE
G2S93,228,TU-EX PARAMILITAR
G2S94,229,EX PARAMILITAR-ESTUDIANTE
G2S94,229,EX PARAMILITAR-VICTIMA
G2S94,229,TU-ESTUDIANTE
G2S94,229,TU-VICTIMA
G2S95,230,EX PARAMILITAR-ESTUDIANTE
G2S95,230,EX PARAMILITAR-EX GUERRILLERO
G2S95,230,TU-ESTUDIANTE
G2S95,230,TU-EX GUERRILLERO
G2S96,231,EX PARAMILITAR-ESTUDIANTE
G2S96,231,EX PARAMILITAR-EX PARAMILITAR
G2S96,231,TU-ESTUDIANTE
G2S96,231,TU-EX PARAMILITAR
G2S97,232,EX GUERRILLERO-ESTUDIANTE
G2S97,232,EX GUERRILLERO-EX PARAMILITAR
G2S97,232,TU-ESTUDIANTE
G2S97,232,TU-EX PARAMILITAR
G2S98,233,EX GUERRILLERO-ESTUDIANTE
G2S98,233,EX GUERRILLERO-EX PARAMILITAR
G2S98,233,TU-ESTUDIANTE
G2S98,233,TU-EX PARAMILITAR
G2S99,234,EX PARAMILITAR-ESTUDIANTE
G2S99,234,EX PARAMILITAR-VICTIMA
G2S99,234,TU-ESTUDIANTE
G2S99,234,TU-VICTIMA
G2S100,235,EX PARAMILITAR-ESTUDIANTE
G2S100,235,EX PARAMILITAR-EX PARAMILITAR
G2S100,235,TU-ESTUDIANTE
G2S100,235,TU-EX PARAMILITAR
G2S101,236,EX GUERRILLERO-ESTUDIANTE
G2S101,236,EX GUERRILLERO-VICTIMA
G2S101,236,TU-ESTUDIANTE
G2S101,236,TU-VICTIMA
G2S102,237,TU-ESTUDIANTE
G2S102,237,TU-VICTIMA
G2S102,237,VICTIMA-ESTUDIANTE
G2S102,237,VICTIMA-VICTIMA
G2S103,238,TU-ESTUDIANTE
G2S103,238,TU-VICTIMA
G2S103,238,VICTIMA-ESTUDIANTE
G2S103,238,VICTIMA-VICTIMA
G2S104,239,EX PARAMILITAR-ESTUDIANTE
G2S104,239,EX PARAMILITAR-EX PARAMILITAR
G2S104,239,TU-ESTUDIANTE
G2S104,239,TU-EX PARAMILITAR
G2S105,240,EX GUERRILLERO-ESTUDIANTE
G2S105,240,EX GUERRILLERO-EX GUERRILLERO
G2S105,240,TU-ESTUDIANTE
G2S105,240,TU-EX GUERRILLERO
G2S106,241,EX GUERRILLERO-ESTUDIANTE
G2S106,241,EX GUERRILLERO-VICTIMA
G2S106,241,TU-ESTUDIANTE
G2S106,241,TU-VICTIMA
G2S107,242,EX GUERRILLERO-ESTUDIANTE
G2S107,242,EX GUERRILLERO-EX GUERRILLERO
G2S107,242,TU-ESTUDIANTE
G2S107,242,TU-EX GUERRILLERO
G2S108,243,TU-ESTUDIANTE
G2S108,243,TU-EX PARAMILITAR
G2S108,243,VICTIMA-ESTUDIANTE
G2S108,243,VICTIMA-EX PARAMILITAR
G2S109,244,TU-ESTUDIANTE
G2S109,244,TU-EX PARAMILITAR
G2S109,244,VICTIMA-ESTUDIANTE
G2S109,244,VICTIMA-EX PARAMILITAR
G2S110,245,EX GUERRILLERO-ESTUDIANTE
G2S110,245,EX GUERRILLERO-VICTIMA
G2S110,245,TU-ESTUDIANTE
G2S110,245,TU-VICTIMA
G2S111,246,EX GUERRILLERO-ESTUDIANTE
G2S111,246,EX GUERRILLERO-EX PARAMILITAR
G2S111,246,TU-ESTUDIANTE
G2S111,246,TU-EX PARAMILITAR
G2S112,247,EX GUERRILLERO-ESTUDIANTE
G2S112,247,EX GUERRILLERO-VICTIMA
G2S112,247,TU-ESTUDIANTE
G2S112,247,TU-VICTIMA
G2S113,248,EX PARAMILITAR-ESTUDIANTE
G2S113,248,EX PARAMILITAR-EX GUERRILLERO
G2S113,248,TU-ESTUDIANTE
G2S113,248,TU-EX GUERRILLERO
G2S114,249,EX GUERRILLERO-ESTUDIANTE
G2S114,249,EX GUERRILLERO-EX PARAMILITAR
G2S114,249,TU-ESTUDIANTE
G2S114,249,TU-EX PARAMILITAR
G2S115,250,EX GUERRILLERO-ESTUDIANTE
G2S115,250,EX GUERRILLERO-EX GUERRILLERO
G2S115,250,TU-ESTUDIANTE
G2S115,250,TU-EX GUERRILLERO
G2S116,251,TU-ESTUDIANTE
G2S116,251,TU-EX PARAMILITAR
G2S116,251,VICTIMA-ESTUDIANTE
G2S116,251,VICTIMA-EX PARAMILITAR
G2S117,252,TU-ESTUDIANTE
G2S117,252,TU-EX GUERRILLERO
G2S117,252,VICTIMA-ESTUDIANTE
G2S117,252,VICTIMA-EX GUERRILLERO
G2S118,253,EX PARAMILITAR-ESTUDIANTE
G2S118,253,EX PARAMILITAR-VICTIMA
G2S118,253,TU-ESTUDIANTE
G2S118,253,TU-VICTIMA
G2S119,254,EX PARAMILITAR-ESTUDIANTE
G2S119,254,EX PARAMILITAR-EX PARAMILITAR
G2S119,254,TU-ESTUDIANTE
G2S119,254,TU-EX PARAMILITAR
G2S120,255,EX PARAMILITAR-ESTUDIANTE
G2S120,255,EX PARAMILITAR-VICTIMA
G2S120,255,TU-ESTUDIANTE
G2S120,255,TU-VICTIMA
G2S121,256,TU-ESTUDIANTE
G2S121,256,TU-EX GUERRILLERO
G2S121,256,VICTIMA-ESTUDIANTE
G2S121,256,VICTIMA-EX GUERRILLERO
G2S122,257,EX PARAMILITAR-ESTUDIANTE
G2S122,257,EX PARAMILITAR-EX GUERRILLERO
G2S122,257,TU-ESTUDIANTE
G2S122,257,TU-EX GUERRILLERO
G2S123,258,EX PARAMILITAR-ESTUDIANTE
G2S123,258,EX PARAMILITAR-EX GUERRILLERO
G2S123,258,TU-ESTUDIANTE
G2S123,258,TU-EX GUERRILLERO
G2S124,259,TU-ESTUDIANTE
G2S124,259,TU-EX GUERRILLERO
G2S124,259,VICTIMA-ESTUDIANTE
G2S124,259,VICTIMA-EX GUERRILLERO
G2S125,260,TU-ESTUDIANTE
G2S125,260,TU-EX PARAMILITAR
G2S125,260,VICTIMA-ESTUDIANTE
G2S125,260,VICTIMA-EX PARAMILITAR
G2S126,261,EX PARAMILITAR-ESTUDIANTE
G2S126,261,EX PARAMILITAR-EX PARAMILITAR
G2S126,261,TU-ESTUDIANTE
G2S126,261,TU-EX PARAMILITAR
G2S127,262,EX GUERRILLERO-ESTUDIANTE
G2S127,262,EX GUERRILLERO-VICTIMA
G2S127,262,TU-ESTUDIANTE
G2S127,262,TU-VICTIMA
G2S128,263,TU-ESTUDIANTE
G2S128,263,TU-EX GUERRILLERO
G2S128,263,VICTIMA-ESTUDIANTE
G2S128,263,VICTIMA-EX GUERRILLERO
G2S129,264,TU-ESTUDIANTE
G2S129,264,TU-EX PARAMILITAR
G2S129,264,VICTIMA-ESTUDIANTE
G2S129,264,VICTIMA-EX PARAMILITAR
G2S130,265,TU-ESTUDIANTE
G2S130,265,TU-EX GUERRILLERO
G2S130,265,VICTIMA-ESTUDIANTE
G2S130,265,VICTIMA-EX GUERRILLERO
G2S131,266,EX PARAMILITAR-ESTUDIANTE
G2S131,266,EX PARAMILITAR-VICTIMA
G2S131,266,TU-ESTUDIANTE
G2S131,266,TU-VICTIMA
G2S132,267,EX GUERRILLERO-ESTUDIANTE
G2S132,267,EX GUERRILLERO-VICTIMA
G2S132,267,TU-ESTUDIANTE
G2S132,267,TU-VICTIMA
G2S133,268,TU-ESTUDIANTE
G2S133,268,TU-EX PARAMILITAR
G2S133,268,VICTIMA-ESTUDIANTE
G2S133,268,VICTIMA-EX PARAMILITAR
G2S134,269,TU-ESTUDIANTE
G2S134,269,TU-EX PARAMILITAR
G2S134,269,VICTIMA-ESTUDIANTE
G2S134,269,VICTIMA-EX PARAMILITAR
G2S135,270,TU-ESTUDIANTE
G2S135,270,TU-EX GUERRILLERO
G2S135,270,VICTIMA-ESTUDIANTE
G2S135,270,VICTIMA-EX GUERRILLERO
